,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
77,2020-07-06,269.0622827130552,177.66357012375354,347.37556349210706,269.0622827130552,269.0622827130552,-5.864684727291354,-5.864684727291354,-5.864684727291354,-5.864684727291354,-5.864684727291354,-5.864684727291354,0.0,0.0,0.0,263.1975979857638
78,2020-07-07,270.9901021789135,192.42852435952557,352.79999926427536,270.9901021789135,270.9901021789135,-2.3833795792019483,-2.3833795792019483,-2.3833795792019483,-2.3833795792019483,-2.3833795792019483,-2.3833795792019483,0.0,0.0,0.0,268.60672259971153
79,2020-07-08,272.9179216447718,179.23897798246364,350.3804312464239,272.9179216447718,272.9179216447718,-3.4943599920802604,-3.4943599920802604,-3.4943599920802604,-3.4943599920802604,-3.4943599920802604,-3.4943599920802604,0.0,0.0,0.0,269.42356165269155
80,2020-07-09,274.8457411106302,187.6708636083347,352.4633216013774,274.8457411106302,274.8457411106302,-3.843578695304253,-3.843578695304253,-3.843578695304253,-3.843578695304253,-3.843578695304253,-3.843578695304253,0.0,0.0,0.0,271.0021624153259
81,2020-07-10,276.7811315934992,189.40903506901034,351.47341858803105,276.7811315934992,276.7811315934992,-7.7625465520499795,-7.7625465520499795,-7.7625465520499795,-7.7625465520499795,-7.7625465520499795,-7.7625465520499795,0.0,0.0,0.0,269.0185850414492
82,2020-07-13,282.5873030421063,186.46618637047524,360.0918940351722,282.5873030421063,282.5873030421063,-5.864684727304277,-5.864684727304277,-5.864684727304277,-5.864684727304277,-5.864684727304277,-5.864684727304277,0.0,0.0,0.0,276.72261831480205
83,2020-07-14,284.52269352497535,192.36380578548895,364.13429435986114,284.52269352497535,284.52269352497535,-2.3833795792061903,-2.3833795792061903,-2.3833795792061903,-2.3833795792061903,-2.3833795792061903,-2.3833795792061903,0.0,0.0,0.0,282.1393139457692
84,2020-07-15,286.45808400784443,192.1069170456192,367.436860856762,286.45808400784443,286.45808400784443,-3.494359992081452,-3.494359992081452,-3.494359992081452,-3.494359992081452,-3.494359992081452,-3.494359992081452,0.0,0.0,0.0,282.963724015763
85,2020-07-16,288.39347449071346,198.59360081121602,374.6000886689852,288.39347449071346,288.39347449071346,-3.843578695320771,-3.843578695320771,-3.843578695320771,-3.843578695320771,-3.843578695320771,-3.843578695320771,0.0,0.0,0.0,284.5498957953927
86,2020-07-17,290.3288649735825,194.11389977039343,362.88050083636784,290.3288649735825,290.3288649735825,-7.762546552086738,-7.762546552086738,-7.762546552086738,-7.762546552086738,-7.762546552086738,-7.762546552086738,0.0,0.0,0.0,282.56631842149574
87,2020-07-20,296.13503642218956,206.6430552066417,378.20777033057357,296.13503642218956,296.13503642218956,-5.864684727297283,-5.864684727297283,-5.864684727297283,-5.864684727297283,-5.864684727297283,-5.864684727297283,0.0,0.0,0.0,290.27035169489227
88,2020-07-21,298.07042690505864,206.95372812370715,382.0231845333868,298.07042690505864,298.07042690505864,-2.3833795791983987,-2.3833795791983987,-2.3833795791983987,-2.3833795791983987,-2.3833795791983987,-2.3833795791983987,0.0,0.0,0.0,295.68704732586025
89,2020-07-22,300.0058216852003,215.32731607618436,383.98834541602105,300.0058216852003,300.0058216852003,-3.4943599920765225,-3.4943599920765225,-3.4943599920765225,-3.4943599920765225,-3.4943599920765225,-3.4943599920765225,0.0,0.0,0.0,296.5114616931238
90,2020-07-23,301.94121646534194,215.52795214037715,381.84023623240176,301.94121646534194,301.94121646534194,-3.8435786953195934,-3.8435786953195934,-3.8435786953195934,-3.8435786953195934,-3.8435786953195934,-3.8435786953195934,0.0,0.0,0.0,298.09763777002235
91,2020-07-24,303.8766112454836,216.6324097056154,385.73745785568826,303.8766112454836,303.8766112454836,-7.762546552073655,-7.762546552073655,-7.762546552073655,-7.762546552073655,-7.762546552073655,-7.762546552073655,0.0,0.0,0.0,296.11406469340994
92,2020-07-27,309.68279558590865,218.50314493818163,388.24223942308345,309.68279558590865,309.68279558590865,-5.864684727330125,-5.864684727330125,-5.864684727330125,-5.864684727330125,-5.864684727330125,-5.864684727330125,0.0,0.0,0.0,303.8181108585785
93,2020-07-28,311.6181903660503,222.5989087087739,390.49267683308966,311.6181903660503,311.6181903660503,-2.3833795792064003,-2.3833795792064003,-2.3833795792064003,-2.3833795792064003,-2.3833795792064003,-2.3833795792064003,0.0,0.0,0.0,309.2348107868439
94,2020-07-29,313.55358514619195,228.36466337592478,400.31409019108247,313.55358514619195,313.55358514619195,-3.494359992079482,-3.494359992079482,-3.494359992079482,-3.494359992079482,-3.494359992079482,-3.494359992079482,0.0,0.0,0.0,310.0592251541125
95,2020-07-30,315.4889799263337,227.6522227455175,404.19632508255273,315.4889799263337,315.4889799263337,-3.8435786953184143,-3.8435786953184143,-3.8435786953184143,-3.8435786953184143,-3.8435786953184143,-3.8435786953184143,0.0,0.0,0.0,311.6454012310153
96,2020-07-31,317.4243747064753,222.47808938230799,396.8504584639651,317.4243747064753,317.4243747064753,-7.762546552078287,-7.762546552078287,-7.762546552078287,-7.762546552078287,-7.762546552078287,-7.762546552078287,0.0,0.0,0.0,309.661828154397
97,2020-08-03,323.230611565414,227.69674600330063,397.9978165072805,323.230611565414,323.230611565414,-5.864684727323131,-5.864684727323131,-5.864684727323131,-5.864684727323131,-5.864684727323131,-5.864684727323131,0.0,0.0,0.0,317.36592683809084
98,2020-08-04,325.16602385172683,236.67161810015375,409.00904035431466,325.16602385172683,325.16602385172683,-2.3833795791986065,-2.3833795791986065,-2.3833795791986065,-2.3833795791986065,-2.3833795791986065,-2.3833795791986065,0.0,0.0,0.0,322.7826442725282
99,2020-08-05,327.10143613803973,236.3303476730487,401.67390054105397,327.10143613803973,327.10143613803973,-3.494359992078909,-3.494359992078909,-3.494359992078909,-3.494359992078909,-3.494359992078909,-3.494359992078909,0.0,0.0,0.0,323.60707614596083
100,2020-08-06,329.03684842435257,236.83357046063472,405.40348014897916,329.03684842435257,329.03684842435257,-3.8435786953260846,-3.8435786953260846,-3.8435786953260846,-3.8435786953260846,-3.8435786953260846,-3.8435786953260846,0.0,0.0,0.0,325.1932697290265
101,2020-08-07,330.97226071066547,235.9967084223182,409.0519938932281,330.97226071066547,330.97226071066547,-7.762546552047493,-7.762546552047493,-7.762546552047493,-7.762546552047493,-7.762546552047493,-7.762546552047493,0.0,0.0,0.0,323.209714158618
102,2020-08-10,336.7784975696041,245.7162314085533,415.9577523833616,336.7784975696041,336.7784975696041,-5.864684727316138,-5.864684727316138,-5.864684727316138,-5.864684727316138,-5.864684727316138,-5.864684727316138,0.0,0.0,0.0,330.91381284228794
